2019-03-16 16:17:24,700,String length,1292,6
2019-03-16 16:17:24,702,Something happened,1292,-1
2019-03-16 16:17:24,702,Sleeping a random time,STARTS,0
2019-03-16 16:17:27,989,Sleeping a random time,ENDS,3287
2019-03-16 16:27:52,106,String length,1077,5
2019-03-16 16:27:52,109,Something happened,1077,-1
2019-03-16 16:27:52,109,Sleeping a random time,STARTS,0
2019-03-16 16:28:01,086,Sleeping a random time,ENDS,8977
2019-03-16 16:28:07,775,String length,1286,10
2019-03-16 16:28:07,776,Something happened,1286,-1
2019-03-16 16:28:07,777,Sleeping a random time,STARTS,0
2019-03-16 16:28:16,664,Sleeping a random time,ENDS,8887
